Row ID;Row Name;isStrengthCorrect_byPhysics;isDexterityCorrect_byPhysics;isMagicCorrect_byPhysics;isFaithCorrect_byPhysics;isLuckCorrect_byPhysics;isStrengthCorrect_byMagic;isDexterityCorrect_byMagic;isMagicCorrect_byMagic;isFaithCorrect_byMagic;isLuckCorrect_byMagic;isStrengthCorrect_byFire;isDexterityCorrect_byFire;isMagicCorrect_byFire;isFaithCorrect_byFire;isLuckCorrect_byFire;isStrengthCorrect_byThunder;isDexterityCorrect_byThunder;isMagicCorrect_byThunder;isFaithCorrect_byThunder;isLuckCorrect_byThunder;isStrengthCorrect_byDark;isDexterityCorrect_byDark;isMagicCorrect_byDark;isFaithCorrect_byDark;isLuckCorrect_byDark;overwriteStrengthCorrectRate_byPhysics;overwriteDexterityCorrectRate_byPhysics;overwriteMagicCorrectRate_byPhysics;overwriteFaithCorrectRate_byPhysics;overwriteLuckCorrectRate_byPhysics;overwriteStrengthCorrectRate_byMagic;overwriteDexterityCorrectRate_byMagic;overwriteMagicCorrectRate_byMagic;overwriteFaithCorrectRate_byMagic;overwriteLuckCorrectRate_byMagic;overwriteStrengthCorrectRate_byFire;overwriteDexterityCorrectRate_byFire;overwriteMagicCorrectRate_byFire;overwriteFaithCorrectRate_byFire;overwriteLuckCorrectRate_byFire;overwriteStrengthCorrectRate_byThunder;overwriteDexterityCorrectRate_byThunder;overwriteMagicCorrectRate_byThunder;overwriteFaithCorrectRate_byThunder;overwriteLuckCorrectRate_byThunder;overwriteStrengthCorrectRate_byDark;overwriteDexterityCorrectRate_byDark;overwriteMagicCorrectRate_byDark;overwriteFaithCorrectRate_byDark;overwriteLuckCorrectRate_byDark;InfluenceStrengthCorrectRate_byPhysics;InfluenceDexterityCorrectRate_byPhysics;InfluenceMagicCorrectRate_byPhysics;InfluenceFaithCorrectRate_byPhysics;InfluenceLuckCorrectRate_byPhysics;InfluenceStrengthCorrectRate_byMagic;InfluenceDexterityCorrectRate_byMagic;InfluenceMagicCorrectRate_byMagic;InfluenceFaithCorrectRate_byMagic;InfluenceLuckCorrectRate_byMagic;InfluenceStrengthCorrectRate_byFire;InfluenceDexterityCorrectRate_byFire;InfluenceMagicCorrectRate_byFire;InfluenceFaithCorrectRate_byFire;InfluenceLuckCorrectRate_byFire;InfluenceStrengthCorrectRate_byThunder;InfluenceDexterityCorrectRate_byThunder;InfluenceMagicCorrectRate_byThunder;InfluenceFaithCorrectRate_byThunder;InfluenceLuckCorrectRate_byThunder;InfluenceStrengthCorrectRate_byDark;InfluenceDexterityCorrectRate_byDark;InfluenceMagicCorrectRate_byDark;InfluenceFaithCorrectRate_byDark;InfluenceLuckCorrectRate_byDark
0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;
10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;
1000;;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;
1001;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;
1002;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;
1010;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;
1011;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;
1012;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;
1013;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;
1014;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;
