Row ID;Row Name;disableParam_NT;eventflagId;bonfireEntityId;bonfireSubCategorySortId;forbiddenIconId;dispMinZoomStep;selectMinZoomStep;bonfireSubCategoryId;clearedEventFlagId;iconId;dispMask00;dispMask01;areaNo;gridXNo;gridZNo;posX;posY;posZ;textId1;textEnableFlagId1;textDisableFlagId1;textId2;textEnableFlagId2;textDisableFlagId2;textId3;textEnableFlagId3;textDisableFlagId3;textId4;textEnableFlagId4;textDisableFlagId4;textId5;textEnableFlagId5;textDisableFlagId5;textId6;textEnableFlagId6;textDisableFlagId6;textId7;textEnableFlagId7;textDisableFlagId7;textId8;textEnableFlagId8;textDisableFlagId8;textType1;textType2;textType3;textType4;textType5;textType6;textType7;textType8;noIgnitionSfxDmypolyId_0;noIgnitionSfxId_0;noIgnitionSfxDmypolyId_1;noIgnitionSfxId_1;unkA8;unkAC;unkB0;unkB4;unkB8;unkBC;unkC0;unkC4;unkC8;unkCC;unkD0;unkD4;unkD8;unkDC;unkE0;unkE4;unkE8
0;;0;200;4001950;0;0;0;0;0;0;1;0;0;10;0;0;0.39;-9.74;-14.04;211200;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
100000;[Stormveil Castle] Godrick the Grafted;1;71000;10001950;999;2;0;0;10000;0;1;1;0;10;0;0;-232.76;74.11;345.13;100000;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;100;6410;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131073;
100001;[Stormveil Castle] Margit, the Fell Omen;0;71001;10001951;30;2;0;0;61001;0;1;1;0;10;0;0;-28.55;-1.76;-18.58;100001;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;100;6410;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131073;
100002;[Stormveil Castle] Castleward Tunnel;0;71002;10001952;20;2;0;0;61001;0;1;1;0;10;0;0;36.35;-11.28;5.36;100002;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;100;6411;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131073;
100003;[Stormveil Castle] Gateside Chamber;0;71003;10001953;40;2;0;0;10000;0;1;1;0;10;0;0;-122.51;30.2;11.88;100003;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;100;6411;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131073;
100004;[Stormveil Castle] Stormveil Cliffside;0;71004;10001954;50;2;0;0;10000;0;1;1;0;10;0;0;-200.67;30.44;-16.52;100004;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;100;6411;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131073;
100005;[Stormveil Castle] Rampart Tower;0;71005;10001955;60;2;0;0;10000;0;1;1;0;10;0;0;-262.26;98.45;112.96;100005;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;100;6411;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131073;
100006;[Stormveil Castle] Liftside Chamber;1;71006;10001956;70;2;0;0;10000;0;1;1;0;10;0;0;-273.12;71.56;241.41;100006;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;100;6411;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131073;
100007;[Stormveil Castle] Secluded Cell;1;71007;10001957;80;2;0;0;10000;0;1;1;0;10;0;0;-189.96;81.87;313.47;100007;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;100;6411;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131073;
100008;[Stormveil Castle] Stormveil Main Gate;0;71008;10001958;30;2;0;0;10000;0;1;1;0;10;0;0;-96.08;21.41;20.28;100008;0;0;-1;0;0;130200;10009549;3263;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;1;0;0;0;0;0;100;6411;-1;-1;0;0;0;0;0;0;0;0;0;0;400051;0;0;0;0;0;6684773;
