Row ID;Row Name;equipId;value;mtrlId;eventFlag_forStock;eventFlag_forRelease;sellQuantity;equipType;costType;setNum;value_Add;value_Magnification;iconId;nameMsgId;menuTitleMsgId;menuIconId
1;;240;100;-1;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
30000;Furlcalling Finger Remedy - Default;150;0;300000;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
30100;Fire Pot - Default;300;0;301000;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
30101;Redmane Fire Pot - Armorer's Cookbook [4];301;0;301010;0;67260;-1;3;0;1;0;1;-1;-1;-1;-1;
30102;Giantsflame Fire Pot - Armorer's Cookbook [7];302;0;301020;0;67250;-1;3;0;1;0;1;-1;-1;-1;-1;
30103;Lightning Pot - Ancient Dragon Apostle's Cookbook [2];320;0;301030;0;68010;-1;3;0;1;0;1;-1;-1;-1;-1;
30104;Ancient Dragonbolt Pot - Ancient Dragon Apostle's Cookbook [4];321;0;301040;0;68020;-1;3;0;1;0;1;-1;-1;-1;-1;
30105;Fetid Pot - Nomadic Warrior's Cookbook [4];330;0;301050;0;67800;-1;3;0;1;0;1;-1;-1;-1;-1;
30106;Swarm Pot - Nomadic Warrior's Cookbook [24];340;0;301060;0;67910;-1;3;0;1;0;1;-1;-1;-1;-1;
30107;Holy Water Pot - Missionary's Cookbook [1];350;0;301070;0;67610;-1;3;0;1;0;1;-1;-1;-1;-1;
30108;Sacred Order Pot - Missionary's Cookbook [5];351;0;301080;0;67630;-1;3;0;1;0;1;-1;-1;-1;-1;
30109;Freezing Pot - Glintstone Craftsman's Cookbook [6];360;0;301090;0;67460;-1;3;0;1;0;1;-1;-1;-1;-1;
30110;Poison Pot - Nomadic Warrior's Cookbook [14];370;0;301100;0;67870;-1;3;0;1;0;1;-1;-1;-1;-1;
30111;Oil Pot - Nomadic Warrior's Cookbook [17];380;0;301110;0;67100;-1;3;0;1;0;1;-1;-1;-1;-1;
30112;Alluring Pot - Nomadic Warrior's Cookbook [21];390;0;301120;0;67120;-1;3;0;1;0;1;-1;-1;-1;-1;
30113;Beastlure Pot - Nomadic Warrior's Cookbook [5];391;0;301130;0;67830;-1;3;0;1;0;1;-1;-1;-1;-1;
30114;Roped Fire Pot - Nomadic Warrior's Cookbook [7];400;0;301140;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
30115;Roped Lightning Pot - Ancient Dragon Apostle's Cookbook [2];420;0;301150;0;68010;-1;3;0;1;0;1;-1;-1;-1;-1;
30116;Roped Fetid Pot - Nomadic Warrior's Cookbook [4];430;0;301160;0;67800;-1;3;0;1;0;1;-1;-1;-1;-1;
30117;Roped Poison Pot - Nomadic Warrior's Cookbook [14];440;0;301170;0;67870;-1;3;0;1;0;1;-1;-1;-1;-1;
30118;Roped Oil Pot - Nomadic Warrior's Cookbook [17];450;0;301180;0;67100;-1;3;0;1;0;1;-1;-1;-1;-1;
30119;Roped Magic Pot - Glintstone Craftsman's Cookbook [4];460;0;301190;0;67400;-1;3;0;1;0;1;-1;-1;-1;-1;
30120;Roped Fly Pot - Nomadic Warrior's Cookbook [24];470;0;301200;0;67910;-1;3;0;1;0;1;-1;-1;-1;-1;
30122;Roped Volcano Pot - Nomadic Warrior's Cookbook [20];490;0;301220;0;67230;-1;3;0;1;0;1;-1;-1;-1;-1;
30123;Roped Holy Water Pot - Missionary's Cookbook [1];510;0;301230;0;67610;-1;3;0;1;0;1;-1;-1;-1;-1;
30124;Volcano Pot - Nomadic Warrior's Cookbook [20];600;0;301240;0;67230;-1;3;0;1;0;1;-1;-1;-1;-1;
30125;Albinauric Pot - Glintstone Craftsman's Cookbook [3];610;0;301250;0;67480;-1;3;0;1;0;1;-1;-1;-1;-1;
